epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,995.009,1.41782,0.88721,0.88206,0.82747,0.71809,0.83858,0.59123,1.38101,0.83788,0.86224,0.000655625,0.000655625,0.000655625
43,1018.68,1.36704,0.88602,0.88849,0.721,0.81389,0.85342,0.61249,1.3532,0.8333,0.86032,0.000636762,0.000636762,0.000636762
44,1042.34,1.35457,0.8729,0.86718,0.7977,0.73566,0.8509,0.61598,1.3174,0.82753,0.85855,0.0006179,0.0006179,0.0006179
45,1066.17,1.36787,0.8942,0.89125,0.77843,0.80244,0.85074,0.62318,1.29874,0.8201,0.8598,0.000599037,0.000599037,0.000599037
46,1089.98,1.35171,0.9171,0.87618,0.79044,0.80023,0.85777,0.61927,1.32047,0.81119,0.85079,0.000580174,0.000580174,0.000580174
47,1113.28,1.39258,0.87197,0.87166,0.83019,0.73859,0.86475,0.63542,1.31275,0.80516,0.8415,0.000561311,0.000561311,0.000561311
48,1136.46,1.3508,0.8894,0.88397,0.86956,0.79831,0.87554,0.65272,1.26335,0.78998,0.83673,0.000542448,0.000542448,0.000542448
49,1160.24,1.37979,0.84812,0.86766,0.82991,0.80497,0.87571,0.66335,1.26264,0.78916,0.83289,0.000523586,0.000523586,0.000523586
50,1184.38,1.38321,0.85118,0.86425,0.89928,0.73566,0.86853,0.65334,1.27853,0.79409,0.83475,0.000504723,0.000504723,0.000504723
51,1208.13,1.3489,0.86355,0.87206,0.92235,0.72979,0.8677,0.64789,1.2915,0.77997,0.83735,0.00048586,0.00048586,0.00048586
52,1232.01,1.37749,0.83738,0.86756,0.90945,0.72229,0.87407,0.62985,1.3115,0.77622,0.84103,0.000466997,0.000466997,0.000466997
53,1255.69,1.35664,0.86146,0.8715,0.8929,0.74612,0.87327,0.63083,1.29826,0.77,0.84453,0.000448134,0.000448134,0.000448134
54,1279.6,1.3682,0.83856,0.87747,0.79199,0.80659,0.87575,0.63199,1.29899,0.78336,0.84216,0.000429272,0.000429272,0.000429272
55,1302.9,1.3542,0.85315,0.86591,0.76684,0.82243,0.87481,0.64167,1.29021,0.78652,0.84094,0.000410409,0.000410409,0.000410409
56,1326.71,1.33322,0.80518,0.86463,0.77758,0.82823,0.87594,0.64511,1.26369,0.777,0.84268,0.000391546,0.000391546,0.000391546
57,1350.37,1.27945,0.83968,0.86837,0.80722,0.8312,0.8804,0.65431,1.24978,0.76638,0.84171,0.000372683,0.000372683,0.000372683
58,1374.1,1.31812,0.8185,0.86753,0.8083,0.83899,0.89675,0.6509,1.24265,0.7671,0.84037,0.00035382,0.00035382,0.00035382
59,1397.36,1.31357,0.84055,0.87168,0.84158,0.83973,0.89766,0.65018,1.25712,0.76466,0.84178,0.000334958,0.000334958,0.000334958
60,1421.13,1.32233,0.81322,0.87033,0.80818,0.81686,0.88322,0.64894,1.25636,0.76751,0.83539,0.000316095,0.000316095,0.000316095
61,1444.22,1.33145,0.82473,0.88535,0.88693,0.77614,0.88797,0.66257,1.23795,0.75888,0.8297,0.000297232,0.000297232,0.000297232
62,1467.5,1.29169,0.79567,0.85469,0.86595,0.79166,0.88341,0.66828,1.19778,0.74392,0.82001,0.000278369,0.000278369,0.000278369
63,1490.71,1.26005,0.79547,0.85625,0.84942,0.81329,0.88833,0.67092,1.20943,0.74531,0.81765,0.000259506,0.000259506,0.000259506
64,1514.52,1.27754,0.8137,0.85675,0.85,0.81657,0.88843,0.66595,1.21745,0.74001,0.81805,0.000240644,0.000240644,0.000240644
65,1537.39,1.26879,0.82484,0.8711,0.85686,0.81014,0.88586,0.66878,1.23157,0.73985,0.82012,0.000221781,0.000221781,0.000221781
66,1559.21,1.29127,0.86434,0.84391,0.81776,0.82216,0.88761,0.65489,1.2214,0.74276,0.82018,0.000202918,0.000202918,0.000202918
67,1581.03,1.25913,0.85256,0.84078,0.89028,0.77845,0.88421,0.65513,1.21483,0.74789,0.82212,0.000184055,0.000184055,0.000184055
68,1602.58,1.26722,0.87639,0.84094,0.88741,0.78085,0.88609,0.66569,1.21981,0.7502,0.82467,0.000165192,0.000165192,0.000165192
69,1624.06,1.25768,0.8523,0.83784,0.8729,0.79554,0.88627,0.6609,1.22637,0.75699,0.82709,0.00014633,0.00014633,0.00014633
70,1645.91,1.27994,0.83924,0.83,0.87385,0.79772,0.88091,0.6567,1.25261,0.77924,0.83095,0.000127467,0.000127467,0.000127467
71,1667.53,1.24171,0.84978,0.82656,0.87557,0.79902,0.87944,0.65395,1.26228,0.78773,0.8317,0.000108604,0.000108604,0.000108604
72,1689.29,1.28173,0.86467,0.82485,0.88281,0.80407,0.88182,0.65859,1.25769,0.78624,0.83172,8.97412e-05,8.97412e-05,8.97412e-05
73,1711.17,1.26745,0.83127,0.82776,0.88341,0.80562,0.88197,0.66653,1.24567,0.78031,0.83161,7.08784e-05,7.08784e-05,7.08784e-05
74,1733.29,1.26019,0.81071,0.83653,0.90752,0.79593,0.88598,0.66902,1.23024,0.77146,0.82969,5.20156e-05,5.20156e-05,5.20156e-05
75,1754.87,1.23879,0.80529,0.8307,0.90853,0.79671,0.88765,0.6702,1.22595,0.76696,0.82898,3.31528e-05,3.31528e-05,3.31528e-05
